Name;Country;LoansAdvances;AssetRepos;BankDeposits;LiabilityRepos;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;TradingLiabilities;TotalAssetes;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill
IGM FINANCIAL INC;CA;n.a.;n.a.;1492;n.a.;n.a.;6971500;445962;n.a.;11786106;825000;5511940;2979090;-82997;1549165;3445206;2037114
HUA NAN FINANCIAL HOLDINGS CO LTD;TW;2877702;26558;5124208;1214730;25178;2093864;73872880;1420;90740324;14106247;55485619;30360;844137;1545125;6267875;1351
ING BANK SLASKI S.A. - CAPITAL GROUP;PL;255418;45159;1668589;29439;553;772362;34355924;44027;41764934;6350001;31147298;113200;1130658;1531637;4008558;58799
KOMERCNI BANKA;CZ;10811238;8785554;4136953;n.a.;n.a.;405950;36316124;156624;47625394;13283940;28613192;431900;1042881;1454180;4802396;165864
TAISHIN FINANCIAL HOLDING CO., LTD;TW;1500008;387168;5814234;3990732;176114;2176114;47634522;133089;67459686;15466486;37815289;81793;650677;1450222;5946248;52062
EVERBRIGHT SECURITIES COMPANY LIMITED;CN;2765928;1185889;4393848;3525993;127840;9198638;n.a.;n.a.;29210011;14649300;5412292;190389;225123;1439795;7015716;145441
HONG LEONG FINANCIAL GROUP BHD;MY;2429471;n.a.;2924785;563476;245798;920150;38576311;508161;57431821;16432603;33089718;615710;718147;1418638;6905127;582000
CULLEN/FROST BANKERS, INC;US;3206323;356373;1695340;1695340;20666;538186;27709400;0;34096900;3811484;14618133;657434;1006669;1366732;3911664;654952
SHANGHAI COMMERCIAL & SAVINGS BANK LTD;TW;8495631;63096;2808515;367389;n.a.;2513440;54974679;79547;68941630;25605529;36940457;60046;994678;1359955;6783575;3003
CAPITEC BANK HOLDINGS LIMITED;ZA;1549498;1549498;n.a.;n.a.;22292;395063;6409640;n.a.;8655702;2699846;3990741;88366;730790;1359885;1645413;51103
COMMERCE BANCSHARES, INC.;US;1245952;850000;1850770;1850770;17;1413;20531970;988;26083900;1778050;14590927;148455;818542;1349121;3138468;138921
HONG LEONG BANK BERHAD;MY;311786;n.a.;2340014;563476;n.a.;681022;38861779;508161;50065043;10171998;32908791;472365;667350;1272385;6150262;442132
AHLI UNITED BANK BSC;BH;4683260;n.a.;7915447;2891532;n.a.;74462;25518123;n.a.;40280051;9278162;20742360;487155;951500;1235529;5361529;432417
GUANGZHOU YUEXIU FINANCIAL HOLDINGS GROUP COMPANY LIMITED;CN;1229267;13997;81685;81685;1060561;7165823;n.a.;274061;16392412;4593044;6294669;4295;109649;1198251;3338420;n.a.
WESTERN ALLIANCE BANCORPORATION;US;248619;0;16675;16675;0;393563;22796530;0;26821900;434596;20955506;297847;1040414;1102019;3016750;289895
CHANG HWA COMMERCIAL BANK LTD.;TW;3855173;n.a.;3449575;51395;n.a.;1891364;58657682;n.a.;70937460;9294689;47410846;23937;758975;1065514;5388866;n.a.
BANDHAN BANK LIMITED;IN;266362;n.a.;1141042;n.a.;n.a.;1875838;6727737;n.a.;12166439;1108019;8838516;n.a.;838872;1033896;2015690;n.a.
BANQUE CANTONALE VAUDOISE;CH;1471803;246850;3310266;1551332;670316;6659781;34133443;950217;49940094;11227019;33844246;6197;513117;1024995;3702747;6197
CHANGJIANG SECURITIES COMPANY LIMITED;CN;5777673;1051049;2440769;1773437;n.a.;4053188;n.a.;3928389;15649491;10404712;2822925;33056;113235;1006568;4029241;11133
FOUNDER SECURITIES CO., LTD;CN;5242296;551492;3894023;3047316;n.a.;2853803;n.a.;5309028;19549905;9464915;2902883;684871;196965;943887;5650548;647350
