Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;TotalAssetes
THE JUROKU BANK LTD;73404;NA;1434278;1434278;350046;1926412;51616000;5898519;39756487;79347;503790;890074;3370754;59544188
HYAKUGO BANK LTD;196412;NA;2936854;4868777;1431095;3304232;45485190;8232843;33121997;42125;504287;706504;3053855;59222164
PEOPLE'S UNITED FINANCIAL, INC;318624;0;2029080;2029080;3105850;1012663;43589090;804571;43921201;3285281;1914365;1837860;7947181;58579600
PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION;184636;0;2029080;2029080;3105210;433420;44049700;804571;43921156;3082285;1914159;1857218;7799875;58343490
THE SHIGA BANK, LTD;115805;NA;2166863;3421564;613459;4350368;44953387;8718676;35247573;18031;463174;683385;3457222;57819708
CREDICORP LTD;2100978;1294063;2316843;5146340;NA;4510067;33797642;13002337;33372994;770149;3736169;4367310;8070703;56691820
THE TOHO BANK LTD;11067;NA;NA;NA;4285520;27222;48910765;14910764;35298796;49807;316661;507056;1756992;55388705
THE HIGO BANK;5986311;NA;5789991;5875088;909724;2603321;42134988;6389973;33803359;63450;482447;502604;2745842;55372523
SANTANDER BANK POLSKA SA;1466085;487445;260911;1585856;NA;3688132;41203975;14601797;37760387;654126;2228147;2504139;7104171;55158689
THE DAISHI BANK LTD;126688;NA;2190258;2190258;1512640;3581509;44406717;10425750;30999357;141509;415382;829825;2728823;55051262
OGAKI KYORITSU BANK;130451;NA;1156688;1201739;464287;2527967;47217269;2702493;38248888;63873;496513;576605;2739724;55042090
FIDEURAM-INTESA SANPAOLO PRIVATE BANKING SPA;33661553;NA;NA;3407272;NA;0;43839556;37972038;13298807;262876;290961;2243430;3325264;53661441
NEW YORK COMMUNITY BANCORP, INC;610150;1733;800000;800000;4525000;9232592;31657130;741870;41746562;2426380;1805234;1041634;6711697;53640800
BANK POLSKA KASA OPIEKI SA;471716;250743;157527;1823177;422451;1966450;41501418;10414259;37104917;425924;1762360;2203331;6161104;53538433
CREDITO EMILIANO SPA;2283461;NA;NA;6098851;NA;3403771;30194638;16386200;33297524;489430;659346;1323639;3239658;53507519
SAN-IN GODO BANK, LTD;58178;NA;4076329;5077185;2846366;4119053;35987048;5314269;30192375;51481;533183;708740;3327029;52359339
THE NANTO BANK LTD;10248;NA;1634029;1684085;130018;1248326;46271934;6392935;31614224;58997;406237;546440;2346385;52170462
POPULAR, INC;3262000;0;193000;193000;243000;981000;43758000;3690000;26746000;851000;2261000;2487000;6017000;52115000
TSB BANKING GROUP PLC;901972;263873;NA;5883943;561338;2343762;39603836;9014471;40776111;26637;1387074;1296142;2474715;51857349
BAWAG GROUP AG;6425847;NA;818958;4284647;2077166;4300375;34126641;12555117;34607456;639215;1296516;1509063;4300375;51296684
CIT GROUP, INC;2649120;950000;0;0;14259;6459152;35139620;3639226;30545997;435918;2017014;2340303;6338993;50832800
SBI HOLDINGS, INC;21654932;5342705;4621895;4621895;NA;10701242;23495419;36143957;6819062;1750488;1092723;2574306;5461813;50719661
